350	8.32	150	10.41	150	4.45	4.45	0.5348557692	0.4274735831	0.1073821861
350	11.08	120	14.05	120	3.56	3.56	0.321299639	0.2533807829	0.06791885607
350	9.7	90	12.66	90	2.67	2.67	0.275257732	0.2109004739	0.06435725803
350	7.83	90	6.34	60	2.67	1.78	0.3409961686	0.2807570978	0.06023907079
400	6.33	120	7.271	120	3.56	3.56	0.5624012638	0.4896162839	0.07278497996
400	4.96	120	11.06	150	3.56	4.45	0.7177419355	0.4023508137	0.3153911217
400	4.765	120	6.535	90	3.56	2.67	0.7471143757	0.4085692425	0.3385451331
400	4.615	90	4.805	90	2.67	2.67	0.5785482124	0.5556711759	0.02287703649
450	5.75	150	7.27	150	4.45	4.45	0.7739130435	0.6121045392	0.1618085043
450	6.79	180	7.4	150	5.34	4.45	0.7864506627	0.6013513514	0.1850993114
450	4.82	120	5.64	120	3.56	3.56	0.7385892116	0.6312056738	0.1073835379
450	4	90	4.715	90	2.67	2.67	0.6675	0.5662778367	0.1012221633
500	4.86	120	3.58	120	3.56	3.56	0.9944134078	0.7325102881	0.2619031198
500	4.3	120	3.005	90	3.56	2.67	0.8885191348	0.8279069767	0.06061215803
500	2.92	90	3.45	90	2.67	2.67	0.9143835616	0.7739130435	0.1404705182
500	3.465	150	4.96	150	4.45	4.45	1.284271284	0.8971774194	0.3870938649
